Gender,Age,Marital_Status,city_name,PIN,Model_Name,New_Policy_Campaign_Type,Policy_Source,Renewed
Male,37,M,VARANASI,221103,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,48,S,Tirunelveli,627359,SPLENDOR PLUS DRK CAST,COMP,Dealer,1
Male,48,M,Basti,272150,HF DELUXE BS6 DRUM SELF CAST,SAOD,Dealer,1
Male,51,,Faridabad,121006,Splendor + I3S DRSC FI,SAOD,MOBILE,1
Female,27,M,Bareilly,243001,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,42,,Khammam,507111,GLAMOUR HGLRJDRSCCR,COMP,CT12OD_1,1
Male,54,,VAISHALI,844506,Splendor plus DRS C F1,SAOD,CT1SAON4,1
Male,26,,Bikaner,334401,Splendor + I3S DRSC FI,SAOD,CT_MON3,1
Male,46,M,COOCH BEHAR,736159,SUP SPL BS6 FI DRS,SAOD,Dealer,1
Male,55,M,Vadodara,391770,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,45,M,Purnia,854337,Splendor + I3S DRSC FI,SAOD,Dealer,1
Female,68,M,Lucknow,226025,PLEASURE + XTEC,SAOD,Dealer,1
Male,52,M,Bhiwani,127021,SPLENDOR PLUS DRK CAST,COMP,Dealer,1
Male,38,M,Patna,800001,SPLENDOR PRO DRS,COMP,Dealer,1
Male,29,M,Bharatpur,321001,Maestro Edge -VX,COMP,Dealer,1
Male,30,M,Sardarpur,454116,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,40,M,Hathras,204101,SPLENDOR + BS6 DRS -CAST,SAOD,Dealer,1
Male,48,M,Udaipur,313001,GLAMOUR XTEC FI,SAOD,Dealer,1
Male,22,M,Bundi,303803,HF DELUXE HFNDEDRSCCR,COMP,Dealer,1
Male,47,,Madhepura,852101,PASSION XPRO DSS CC,COMP,MOBILE,1
Male,68,,KATNI,483501,Splendor + I3S DRSC FI,SAOD,MOBILE,1
Male,30,M,Qutubullapur,500100,PASSION PRO  HPPRLIRSCCR,COMP,Dealer,1
Male,29,,Faridabad,121001,SPLENDOR +SELF BSIV,COMP,MOBILE,1
Male,29,,Karnal,132001,Splendor + I3S DRSC FI,SAOD,MOBILE,1
Male,24,S,Dewas,455001,HF DELUXE BS6 DRUM SELF CAST,SAOD,Dealer,1
Female,58,M,Gautam Buddha Nagar,201301,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,26,S,GUSKARA,713128,MAESTRO EDGE(MADCDRSC),SAOD,Dealer,1
Male,28,M,Bokaro,827012,SPLENDOR PRO DRS,COMP,Dealer,1
Male,32,M,Jaipur,302033,HF DELUXE HDLXADRKCFI-,SAOD,Dealer,1
Male,34,,FARAKKA,742202,HF DELUXE-BS-6,SAOD,CTPLUS1,1
Male,44,M,Kashipur,244713,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,34,M,Barwani,451881,HF DELUXE DLX-M-DRS-CF,SAOD,BOT,1
Male,59,M,PONDICHERRY,605003,SPLENDOR PLUS SELF,COMP,Dealer,1
Male,42,,BALLABGARH,121004,Splendor plus DRS C F1,SAOD,CT12OD_2,1
Female,50,M,Raipur,306036,SPLENDOR I SMART 110,COMP,Dealer,1
Male,57,M,Bulandshahar,203001,SPL + BS6 DRSC,SAOD,Dealer,1
Male,27,M,Ramanathapuram,623527,SPPDIRSCC(SP+13S IBS),COMP,Dealer,1
Male,42,S,Bilaspur,495001,DESTINI 125 BS6 FI DRS,COMP,Dealer,1
Male,50,M,Rajkot,363001,SPLENDOR +,COMP,Dealer,1
Male,24,M,Ranchi,804009,GLAMOUR DSS CAST,COMP,Dealer,1
Male,60,,Meerut,200002,SPLENDOR +SELF BSIV,COMP,CTEMAIL,1
Male,48,,New Delhi,110037,SPLENDOR + BS6-I3S DRS,SAOD,CT12OD_2,1
Male,56,,Ahmedabad,382340,PASSION PRO  HPPRLIRSCCR,COMP,MOBILE,1
Female,53,,Gohana,131305,JUPITER BSIV,COMP,CTEMAIL,1
Male,51,,CHENNAI,600040,SPLENDOR+XTEC I3S DRSC FI,SAOD,CTEMAIL,1
Male,66,M,CHITRAKOOT,210205,SPLENDOR I SMART 110,COMP,Dealer,1
Female,33,M,Visakhapatnam,530016,Pleasure HPLNDRSMCR,COMP,Dealer,1
Male,75,M,BANGALORE,560079,SPLENDOR +SELF BSIV,COMP,Dealer,1
Male,57,,KATNI,452002,HF DELUXE-BS-6,SAOD,MOBILE,1
Male,35,M,FIROZPUR,152002,PLEASURE+ BS6 FI DRS SM,COMP,Dealer,1
Male,31,,BANGALORE,560021,Hero Maestro,COMP,MOBILE,1
Female,25,M,Palakkad,678556,Pleasure HPLNDRSMCR,COMP,Dealer,1
Male,21,M,Berhampore,742304,SUPER SPL BS6,SAOD,Dealer,1
Male,41,M,Mathura,281405,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,89,S,BALLABGARH,121004,Splendor + I3S DRSC FI,SAOD,Dealer,1
Female,35,M,BANGALORE,560024,Hero Maestro,COMP,Dealer,1
Male,28,M,Gorakhpur,273306,SPL + BS6 DRSC,SAOD,Dealer,1
Male,35,S,Lucknow,226001,SPLENDOR +,COMP,Dealer,1
Male,59,M,TAMLUK,721636,SPL + BS6 DRSC,SAOD,Dealer,1
Male,40,M,Sonkacch,455118,PASSION PROS,COMP,Dealer,1
Male,28,M,DURGAPUR,713204,Pleasure PLN BDR SMCR,COMP,Dealer,1
Female,38,M,TAMLUK,721654,DESTINI125BS6 FI VX DRS C,SAOD,Dealer,1
Male,47,M,MORBI,363641,PLEASURE+ HPLNRDRZCFI,SAOD,Dealer,1
Male,50,M,REHLI,470232,HF DELUXE_DWDRSCCR,COMP,Dealer,1
Male,62,M,CHITRAKOOT,210205,Super Splendor SPSJDRSCC,COMP,Dealer,1
Male,35,M,Ranbirsinghpora,181102,PASSION PRO DRSCCR,COMP,Dealer,1
Male,45,M,Surat,365004,PASSION XPRO-DRS,COMP,Dealer,1
Male,57,M,MURSHIDABAD,742225,SUPER SPLENDOR XTEC DRSC,SAOD,Dealer,1
Male,52,M,NERUL,403114,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,46,M,Tirunelveli,627006,Super Splendor BS6 FI DIS,SAOD,Dealer,1
Male,47,M,PONDICHERRY,605502,SPLENDOR PRO DRS,COMP,Dealer,1
Male,31,M,Nuh,122107,HF DELUXE_DLX 19 BS6 DRSC,SAOD,Dealer,1
Male,29,M,Kota,325003,SHINE 100,SAOD,Dealer,1
Female,47,,Ludhiana,141001,SPLENDOR + HSPPEDRSCFI,SAOD,MOBILE,1
Male,46,M,Agra,282005,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,66,M,Nuh,122107,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,28,M,Udaipur,313804,PASSION PROS,COMP,Dealer,1
Male,32,M,Gwalior,474001,HF DELUXE DRS CAST(FNDCDR,COMP,Dealer,1
Male,36,M,SHAMLI,247774,SPLENDOR+HSPPEDRSCFI,SAOD,Dealer,1
Male,23,S,RAJSAMAND,313326,PASSION PRO DRSCCR,COMP,Dealer,1
Male,58,M,Indore,452001,Splendor Plus DRK SCR,COMP,Dealer,1
Male,43,,Alwar,301633,HF DELUXE I3S DRSC FI,SAOD,MOBILE,1
Male,42,M,Guwahati,781012,SUPER SPLENDOR SELF,COMP,Dealer,1
Male,45,M,NUZVID,511207,GLAMOUR HGLRJDRSCCR,COMP,Dealer,1
Male,47,,VARANASI,221004,SUPER SPLENDOR XTEC DRSC,SAOD,CT12OD_1,1
Male,39,M,PONDICHERRY,605106,PASSION PRO - PPRJDRSCC,COMP,Dealer,1
Male,25,M,New Delhi,110005,SUPER SPLENDOR SELF,COMP,Dealer,1
Male,30,,Hyderabad,500036,DESTINI 125 BS6 FI DRS,SAOD,CTAKSHATA,1
Male,33,M,Dholpur,308021,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Female,53,S,UDHAMPUR,182141,DESTINI 125(DESCDRVCF),SAOD,Dealer,1
Male,60,,Jaipur,302001,PASSION PRO DRSCCR,COMP,QR,1
Male,43,M,Sindgi,586202,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,32,,Hyderabad,500058,MAESTRO EDGE(MASADRVCC),COMP,MOBILE,1
Male,34,M,Madhubani,847211,SPLENDOR PRO(SPRHDRSCC),COMP,Dealer,1
Male,48,M,Bareilly,203001,SPLENDOR +BS6 DRS CAST FI,COMP,Dealer,1
Male,72,M,PURBA BURDWAN,713128,SUPER SPLENDOR  IBS DRS,COMP,Dealer,1
Male,37,M,NALANDA,805105,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,30,,Alwar,301026,HF DELUX (HFNDJDRSCCR),COMP,CTEMAIL,1
Male,26,M,Kurukshetra,136118,SPLENDOR+ HSPPEDRSCFI,SAOD,Dealer,1
Female,72,M,Thalasseery,670672,MAESTRO EDGE(MASADRVCC),COMP,Dealer,1
Male,32,S,Bundi,323001,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,43,M,Bikaner,334001,SPPDIRSCC(SP+13S IBS),COMP,Dealer,1
Female,39,M,Dehradun,249204,DESTINI 125(DESCDRVCF),SAOD,Dealer,1
Male,57,M,Indore,452001,HF DELUXE IBS DRS,COMP,Dealer,1
Male,62,M,SILIGURI,734003,IGNITOR DISC SELF CAST,COMP,Dealer,1
Male,59,M,Mewat,122108,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,67,M,Sikar,332027,Glamour DRS CC,COMP,Dealer,1
Male,41,,ARAVAKURICHI,639202,Pleasure HPLNDRSMCR,COMP,CTAKSHATA,1
Male,64,M,MUZAFFAR NAGAR,251308,SPLENDOR + IBS DRS CAST,COMP,Dealer,1
Male,40,M,Udupi,576283,SUPER SPLENDOR XTEC DRSC,SAOD,Dealer,1
Female,38,M,NORTH 24 PARAGANAS,700129,PLEASURE+ BS6 FI DRS CAST,SAOD,Dealer,1
Male,54,M,UTTAR DINAJPUR,733202,GLAMOUR XTEC,SAOD,Dealer,1
Male,50,M,Dindori,451990,HF DELUXE IBS DRS,COMP,DIRECT,1
Male,33,M,Patna,801110,Glamour ( GLRFDRSCC ),COMP,DIRECT,1
Female,53,M,Ballia,207124,SPLENDOR +SELF BSIV,COMP,Dealer,1
Male,30,M,Nuh,122107,HF DELUXE BS6 DRUM SELF CAST,SAOD,Dealer,1
Male,39,,Surat,395005,SUPER SPLENDOR XTEC DRSC,SAOD,CT_mon4,1
Male,25,S,Kodala,761032,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,33,M,DELHI,110007,HF DELUXE I3S DRUM SS BS6,SAOD,Dealer,1
Male,48,M,Ballia,221717,Splendor plus DRS C F1,SAOD,Dealer,1
Female,26,M,Gurdaspur,143520,HF DELUXE BS6 DRUM KICK CAST,SAOD,Dealer,1
Male,40,M,Ghaziabad,201206,Splendor plus DRS C F1,SAOD,Dealer,1
Male,20,M,Bikaner,334001,SPL + BS6 DRSC,SAOD,Dealer,1
Male,36,M,Deoria,274501,SUPER SPLENDOR XTEC DRSC,SAOD,Dealer,1
Female,41,S,Digboi,786171,PLEASURE PLUS LX DRS CAST,SAOD,Dealer,1
Male,47,S,Datia,452001,SPLENDOR +SELF BSIV,COMP,Dealer,1
Male,74,M,BAIKUNTHPUR,486441,HF DELUXE-BS-6,SAOD,Dealer,1
Male,51,M,Badaun,243601,DESTINI 125(DESCDRVCF),SAOD,Dealer,1
Male,28,M,Ernakulam,682024,PLEASURE,COMP,Dealer,1
Male,54,M,Bhadrak,756131,GLAMOUR HGLRJDRSCCR,COMP,Dealer,1
Male,27,M,Karnal,132114,SPLENDOR +SELF BSIV,COMP,Dealer,1
Male,35,M,VARANASI,221311,PASSION PRO DRSCCR,COMP,Dealer,1
Female,33,M,Ibrahimpatnam,501508,Passion Plus I3S DRS CAST,SAOD,DIRECT,1
Male,31,,New Delhi,110060,SUPER SPLENDOR XTEC DSSC,SAOD,CT12OD_4,1
Male,46,M,Saharanpur,247231,SUPER SPLENDOR XTEC DRSC,SAOD,Dealer,1
Male,50,S,Lucknow,226016,XTREME 125R ABS DSS,SAOD,Dealer,1
Male,55,M,Kota,324009,SPL + BS6 DRSC,SAOD,Dealer,1
Male,25,M,Tonk,304021,HF DELUXE E20 DRUM KICK,SAOD,Dealer,1
Male,40,M,Pratapgarh,230040,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,67,M,Nuh,122107,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,28,M,AHMED NAGAR,414605,VIDA  V1 PLUS,SAOD,Dealer,1
Male,29,M,Kanhangad,671314,SUPER SPLENDOR XTEC DSSC,SAOD,Dealer,1
Male,29,M,Gonda,271311,HF DELUXE-BS-6,SAOD,Dealer,1
Male,48,M,Eluru,514475,Passion Plus I3S DRS CAST,SAOD,Dealer,1
Male,37,,Gorakhpur,273402,Passion Plus I3S DRS CAST,SAOD,CT2plus1,1
Male,24,M,Kolaghat,701130,GLAMOUR 125 FI DRSC,SAOD,Dealer,1
Male,36,M,DELHI,110094,SPL + BS6 DRSC,SAOD,Dealer,1
Male,47,M,Dhuri,148025,HF DELUXE-BS-6,SAOD,Dealer,1
Male,37,,Ajmer,305811,Splendor plus DRS C F1,SAOD,MOBILE,1
Male,25,,Sikar,332001,Splendor + I3S DRSC FI,SAOD,QR,1
Female,50,,PURBA MEDINIPUR,721645,XTREME 125R ABS DSS,SAOD,CTPSC1,1
Male,44,S,Belgaum,591124,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,72,,Jaipur,302012,SPL + BS6 DRSC,SAOD,MOBILE,1
Male,50,,Indore,452011,SPLENDOR+XTEC I3S DRSC FI,SAOD,CT4SAON3,1
Male,23,M,CHOUFULLA,402214,SPL + BS6 DRSC,SAOD,Dealer,1
Male,33,,FARMANA,131408,Splendor plus DRS C F1,SAOD,CT1SAON4,1
Male,50,S,WEST TRIPURA,799003,XTREME 125R ABS DSS,SAOD,Dealer,1
Male,51,,Ambedkar Nagar,224122,Splendor plus DRS C F1,SAOD,CTPLUS1,1
Male,46,,Muzaffarpur,843109,SPLENDOR+XTEC I3S DRSC FI,SAOD,CT12OD_1,1
Male,32,,Paonta Sahib,173025,Splendor + I3S DRSC FI,SAOD,CT12OD_2,1
Male,41,,Kaithal,136027,SPL + BS6 DRSC,SAOD,CTPSC1,1
Male,61,M,Churu,331031,SUPER SPLENDOR XTEC DRSC,SAOD,Dealer,1
Male,31,,KUNDAPURA,576214,SUPER SPLENDOR XTEC DRSC,SAOD,CTPD1,1
Male,24,,Banka,813104,Splendor + I3S DRSC FI,SAOD,MOBILE,1
Male,22,M,Jhansi,284001,SPL + BS6 DRSC,SAOD,Dealer,1
Male,52,M,Sambhal,202412,SPL + BS6 DRSC,SAOD,DIRECT,1
Male,43,S,Ernakulam,682012,XPULSE 200 4V XPLZSDSSF,SAOD,Dealer,1
Female,45,M,Bhilwara,311001,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,21,M,EAST CHAMPARAN,845426,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,61,M,Valsad,396001,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,25,S,Mathura,281006,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,33,,Ghazipur,233001,SPLENDOR+XTEC I3S DRSC FI,SAOD,CT1SAON2,1
Male,35,,Karauli,322218,Splendor plus DRS C F1,SAOD,QR,1
Male,47,M,Nagaur,341001,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,30,,Palwal,121107,Splendor + I3S DRSC FI,SAOD,CT4SAON1,1
Female,20,M,Thiruvananthapuram,695587,Pleasure Plus XTEC DRS,SAOD,Dealer,1
Male,44,M,Panipat,132103,Splendor plus DRS C F1,SAOD,Dealer,1
Male,30,S,Sonitpur,784027,XTREME 125R ABS DSS,SAOD,Dealer,1
Male,33,M,Surendranagar,363435,SPL + BS6 DRSC,SAOD,Dealer,1
Male,24,S,Baramulla,193202,Splendor + I3S DRSC FI,SAOD,DIRECT,1
Male,30,M,Budaun,243636,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,37,M,Karauli,322230,Splendor plus DRS C F1,SAOD,Dealer,1
Male,26,M,Muzaffarpur,843113,GLAMOUR IBS DRSCAST SPORT,COMP,Dealer,1
Male,48,M,Aligarh,202001,SPLENDOR PRO DRK CCR,COMP,Dealer,1
Male,40,M,Hathin,121103,XTREME 125R ABS DSS,SAOD,Dealer,1
Male,31,M,Niwari,472442,HF DLX KICK START  BS6,COMP,Dealer,1
Male,50,,Panipat,125006,SPLENDOR+HSPPEDRSCFI,COMP,CT12OD_2,1
Male,49,M,Unnao,209801,PASSION-PR-O,COMP,Dealer,1
Male,27,M,Patan,362268,VIDA  V1 PLUS,SAOD,DIRECT,1
Male,53,,Thoothukkudi,628008,SPLENDOR+XTEC I3S DRSC FI,SAOD,CTWB232,1
Male,26,M,SEPAHIJALA,799102,XOOM ZX,SAOD,Dealer,1
Male,30,M,Nuh,122107,SPLENDOR +,COMP,Dealer,1
Male,39,M,Baghpat,250101,Maestro Edge -VX,COMP,Dealer,1
Male,54,M,Muzaffarpur,842002,GLAMOUR HGLRJDRSCCR,COMP,Dealer,1
Male,38,M,Kota,325204,SPL + BS6 DRSC,SAOD,Dealer,1
Male,32,M,Jammu,181111,SUPER SPL BS6,SAOD,Dealer,1
Male,36,M,SAMPLA,124501,XOOM ZX DSSC SPORTS,SAOD,Dealer,1
Male,52,S,Bilaspur,495001,CD DELUXE SELF START SPOK,COMP,Dealer,1
Male,28,M,Gaya,823001,GLAMOUR -CDRS BSIV,COMP,Dealer,1
Male,64,M,Dhule,424303,SHINE 125 DISK-BSVI,SAOD,Dealer,1
Male,31,S,BENGALURU,562109,PASSION PRO PPRDR SSC,COMP,Dealer,1
Male,33,S,RANGAREDDY,509228,XPULSE 200T DSS  HSN/SAC,COMP,Dealer,1
Male,33,S,Nagapattinam,611001,MAESTRO EDGE HMASMDRVCFI,SAOD,Dealer,1
Male,59,M,Bahraich,201801,HF DELUXE_HFNDTD,COMP,DIRECT,1
Male,43,M,SRI GANGANAGAR,305062,HF DELUXE - (HNDPDRSSC),COMP,Dealer,1
Male,20,M,Sonkacch,455118,HF DELUXE(FNDMDRSCC),COMP,Dealer,1
Male,26,M,Kolkata,700153,GLR XTEC FI DSSC MAT,SAOD,Dealer,1
Male,51,M,Hardoi,241001,SPLENDOR + BS6 DRS -CAST,SAOD,Dealer,1
Male,22,M,Indore,452001,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,24,M,CHENNAI,603204,ACTIVA 6G DLX,SAOD,Dealer,1
Male,37,M,Kaman,321023,SPL + BS6 DRSC,SAOD,Dealer,1
Male,45,,DANKUNI,712708,DuetVX BSIII,COMP,Dealer,1
Female,32,,LATEHAR,829202,Pleasure XTEC BS6,SAOD,CT1SAON4,1
Male,37,M,Indore,452001,CD DAWN SPOKE WHEEL,COMP,Dealer,1
Male,45,M,Anand,388001,DESTINI PRIME DRS CAST,SAOD,Dealer,1
Male,56,M,Gohana,131301,SPLENDOR  + BS6 I3s,SAOD,Dealer,1
Male,35,M,PAHARI,321204,SUPER SPL BS6,SAOD,Dealer,1
Male,49,M,Jaunpur,222001,HF DELUXE-BS-6,SAOD,Dealer,1
Male,61,M,Shahjahanpur,242001,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,65,M,Gwalior,474001,SPLENDOR + IBS DRS CAST,COMP,Dealer,1
Male,28,M,Visakhapatnam,530047,PLEASURE+BS6 FI DRS CAST,SAOD,Dealer,1
Male,55,M,Rewa,486001,HF DELUXE IBS DRS,COMP,Dealer,1
Male,55,M,Hata,274203,HF DELUXE BS6 DRUM SELF CAST,SAOD,Dealer,1
Male,34,M,Anand,388001,SPLENDOR PRO DRS,COMP,Dealer,1
Male,34,M,Srikakulam,512460,GLAMOUR -CDRS BSIV,COMP,Dealer,1
Female,51,,Kollam,671331,PLEASURE + XTEC,SAOD,CTWED_4,1
Male,57,M,Tinsukia,786170,GLAMOUR XTEC,SAOD,Dealer,1
Male,27,M,Srikakulam,532421,Glamour DRS CC,COMP,Dealer,1
Male,34,M,PONDICHERRY,605502,SP+I3S BS-6,SAOD,Dealer,1
Male,26,M,Hardoi,241121,SPLENDOR+HSPPEDRSCFI,SAOD,Dealer,1
Female,68,M,Guwahati,781035,PLEASURE (PLNDDRSCC),COMP,Dealer,1
Male,50,M,Gandhinagar,362308,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,59,M,Sirsa,125055,HF DELUXE DRK CCR,COMP,Dealer,1
Male,24,M,Sohna,122103,SPLENDOR + BS6-I3S DRS,COMP,Dealer,1
Female,28,M,Howrah,711410,Pleasure Plus XTEC DRS,SAOD,Dealer,1
Female,55,,SARAIYA,844111,SPLENDOR  + BS6 I3s,SAOD,CT2old24,1
Male,27,S,Belgaum,591242,Splendor+ BS6,SAOD,Dealer,1
Male,36,M,Tihu,781377,SUPER SPLENDOR SELF,COMP,Dealer,1
Male,37,,Faridabad,121001,HF DELUXE BS6 DRUM KICK CAST,SAOD,CTEMAIL,1
Male,25,M,Gorakhpur,273013,SPLENDOR + IBS DRS CAST,COMP,DIRECT,1
Female,26,,Hyderabad,500013,PLEASURE,COMP,CT_mon4,1
Male,29,M,BANGALORE,560091,Splendor + I3S DRSC FI,SAOD,Dealer,1
Male,26,,Satna,486445,SPLENDOR+XTEC I3S DRSC FI,SAOD,CT1TD5,1
Male,25,M,Alwar,301409,SPLENDOR +,COMP,Dealer,1
Male,60,,GURGAON,122001,SPLENDOR+XTEC I3S DRSC FI,SAOD,MOBILE,1
Male,69,,Sikar,332021,Splendor plus DRS C F1,SAOD,MOBILE,1
Male,22,M,NAVSARI,396445,Hero Maestro,COMP,Dealer,1
Male,41,M,Karnal,132001,SPLENDOR +,COMP,Dealer,1
Male,68,S,Bikaner,334804,Splendor plus DRS C F1,SAOD,Dealer,1
Male,45,,Fatehpur,212657,SPLENDOR+XTEC I3S DRSC FI,SAOD,CT_mon4,1
Male,70,M,Medinipur,721102,PLEASURE DRS CCR,COMP,Dealer,1
Male,30,M,BIRBHUM,731222,SUPER SPL BS6,SAOD,Dealer,1
Male,39,M,Ujjain,456001,SPLENDOR+ XTEC DRS CAST,SAOD,Dealer,1
Male,44,,Jaipur,303901,HF DELUXE_HFNDTD,COMP,CTEMAIL,1
Male,33,M,UDHAM SINGH NAGAR,263153,SPLENDOR +,COMP,Dealer,1
Male,22,S,NORTH 24 PARAGANAS,700058,Hero Maestro HMARADSSDX,COMP,Dealer,1
Male,62,S,Karnal,122001,HF DELUXE (HFNDMDRKCCR),COMP,Dealer,1
Male,26,S,Panipat,132104,Splendor plus DRS C F1,SAOD,Dealer,1
Male,24,M,Bettiah,845438,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,25,,Vadodara,390013,PASSION PRO BS6 FI-,SAOD,CT_mon4,1
Male,32,S,JhunJhunu,333031,HF DELUXE-BS-6,SAOD,Dealer,1
Male,39,M,Muzaffarpur,843103,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,38,M,Rajkot,360001,Splendor Plus DRK SCR,COMP,Dealer,1
Female,44,M,Ghaziabad,201005,PLEASURE + XTEC,SAOD,Dealer,1
Male,35,M,Hodal,121106,SPLENDOR+XTEC I3S DRSC FI,SAOD,Dealer,1
Male,45,M,JEHANABAD,804420,GLAMOUR XTEC,SAOD,Dealer,1
Male,69,M,Karnal,132001,HF DLX KICK START  BS6,COMP,Dealer,1
Female,43,,Bhubaneswar,751029,XOOM ZX DSSC SPORTS,SAOD,CT_TUE3,1
Male,81,M,Muzaffarpur,843105,PASSION PRO BS6 FI-,SAOD,Dealer,1
Female,55,,Dewas,455001,Pleasure + BS6 FI VX DRSC,SAOD,CT4SAON3,1
Male,51,,Salem,636003,PASSION PRO CAST SELF,COMP,CTEMAIL,1
Male,59,,Bidar,585401,SPPDIRSCC(SP+13S IBS),COMP,CTWED_1,1
Male,40,M,Yamunanagar,135001,HF Deluxe Drum Brake Kick,COMP,Dealer,1
Male,33,M,Jagadhri,135003,SUPER SPLENDOR_,COMP,Dealer,1
Male,27,,Kangra,176061,PLEASURE,COMP,CT12COMP1,1
Female,34,M,Guwahati,781040,XOOM VX HXOMPDRVCFI,SAOD,Dealer,1
Male,52,S,Chitradurga,577501,GLAMOUR XTEC,SAOD,Dealer,1
Male,36,M,Muzaffarpur,842001,GLAMOUR -CDRS BSIV,COMP,Dealer,1
Male,36,M,Gulbarga,585102,PASSION PRO -  PPRJDRSCC,COMP,Dealer,1
Male,39,M,GAUTAM BUDH NAGAR,201306,SPLENDOR+HSPPEDRSCFI,SAOD,Dealer,1
Male,37,M,Eluru,514001,SPLENDOR + BS6-I3S DRS,SAOD,Dealer,1
Male,29,M,Gohana,121301,SPLENDOR +SELF BSIV,COMP,Dealer,1
Male,71,M,DAHOD,369170,Passion Plus I3S DRS CAST,SAOD,Dealer,1
Male,49,,Surendranagar,382250,Splendor + I3S DRSC FI,SAOD,CT12OD_4,1
